info: ::1 - - [19/Mar/2024:20:31:17 +0000] "POST /api/v1/auth/signup HTTP/1.1" 409 55 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:33:08 +0000] "POST /api/v1/auth/signin HTTP/1.1" 404 47 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:33:09 +0000] "POST /api/v1/auth/signin HTTP/1.1" 404 47 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:33:09 +0000] "POST /api/v1/auth/signin HTTP/1.1" 404 47 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:33:09 +0000] "POST /api/v1/auth/signin HTTP/1.1" 404 47 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:33:09 +0000] "POST /api/v1/auth/signin HTTP/1.1" 404 47 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:53:52 +0000] "POST /api/v1/auth/signin HTTP/1.1" 404 47 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:55:13 +0000] "POST /api/v1/auth/login HTTP/1.1" 500 71 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:56:40 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 282 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:58:17 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 282 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:58:26 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 282 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:20:59:48 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 282 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:21:05:10 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 282 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:21:15:07 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 282 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:21:15:25 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 282 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:21:17:48 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 282 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

info: ::1 - - [19/Mar/2024:21:17:53 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 282 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36"

